place_id,ubigeo_reniec,adm1_code,adm2_code,adm3_code,adm1_name,adm2_name,adm3_name,display_name,search_name,region,macroregion_inei,macroregion_minsa,iso_3166_2,fips,superficie,altitud,lat,lon,frontera
010101,010101,01,0101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,"CHACHAPOYAS, CHACHAPOYAS, AMAZONAS","chachapoyas, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,154.0,2338.0,-6.2294,-77.8728,NO
010102,010102,01,0101,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,"ASUNCION, CHACHAPOYAS, AMAZONAS","asuncion, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,26.0,2823.0,-6.0325,-77.7108,NO
010103,010103,01,0101,010103,AMAZONAS,CHACHAPOYAS,BALSAS,"BALSAS, CHACHAPOYAS, AMAZONAS","balsas, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,357.0,859.0,-6.8358,-78.0197,NO
010104,010104,01,0101,010104,AMAZONAS,CHACHAPOYAS,CHETO,"CHETO, CHACHAPOYAS, AMAZONAS","cheto, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,57.0,2143.0,-6.2556,-77.7008,NO
010105,010105,01,0101,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,"CHILIQUIN, CHACHAPOYAS, AMAZONAS","chiliquin, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,143.0,2677.0,-6.0783,-77.7375,NO
010106,010106,01,0101,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,"CHUQUIBAMBA, CHACHAPOYAS, AMAZONAS","chuquibamba, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,279.0,2803.0,-6.935,-77.8542,NO
010107,010107,01,0101,010107,AMAZONAS,CHACHAPOYAS,GRANADA,"GRANADA, CHACHAPOYAS, AMAZONAS","granada, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,181.0,3041.0,-6.1064,-77.6286,NO
010108,010108,01,0101,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,"HUANCAS, CHACHAPOYAS, AMAZONAS","huancas, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,49.0,2591.0,-6.1736,-77.8644,NO
010109,010109,01,0101,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,"LA JALCA, CHACHAPOYAS, AMAZONAS","la jalca, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,380.0,2869.0,-6.4847,-77.815,NO
010110,010110,01,0101,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,"LEIMEBAMBA, CHACHAPOYAS, AMAZONAS","leimebamba, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,373.0,2226.0,-6.7075,-77.8039,NO
010111,010111,01,0101,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,"LEVANTO, CHACHAPOYAS, AMAZONAS","levanto, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,78.0,2681.0,-6.3078,-77.8992,NO
010112,010112,01,0101,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,"MAGDALENA, CHACHAPOYAS, AMAZONAS","magdalena, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,135.0,1892.0,-6.3731,-77.9017,NO
010113,010113,01,0101,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,"MARISCAL CASTILLA, CHACHAPOYAS, AMAZONAS","mariscal castilla, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,84.0,2210.0,-6.5944,-77.8086,NO
010114,010114,01,0101,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,"MOLINOPAMPA, CHACHAPOYAS, AMAZONAS","molinopampa, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,334.0,2405.0,-6.2092,-77.6692,NO
010115,010115,01,0101,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,"MONTEVIDEO, CHACHAPOYAS, AMAZONAS","montevideo, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,119.0,2421.0,-6.6181,-77.8022,NO
010116,010116,01,0101,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,"OLLEROS, CHACHAPOYAS, AMAZONAS","olleros, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,125.0,3053.0,-6.0239,-77.6764,NO
010117,010117,01,0101,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,"QUINJALCA, CHACHAPOYAS, AMAZONAS","quinjalca, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,92.0,3151.0,-6.0914,-77.6786,NO
010118,010118,01,0101,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,"SAN FRANCISCO DE DAGUAS, CHACHAPOYAS, AMAZONAS","san francisco de daguas, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,47.0,2254.0,-6.2292,-77.74,NO
010119,010119,01,0101,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,"SAN ISIDRO DE MAINO, CHACHAPOYAS, AMAZONAS","san isidro de maino, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,102.0,2339.0,-6.3372,-77.8806,NO
010120,010120,01,0101,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,"SOLOCO, CHACHAPOYAS, AMAZONAS","soloco, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,84.0,2387.0,-6.2606,-77.7442,NO
010121,010121,01,0101,010121,AMAZONAS,CHACHAPOYAS,SONCHE,"SONCHE, CHACHAPOYAS, AMAZONAS","sonche, chachapoyas, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,113.0,2089.0,-6.2189,-77.7753,NO
010201,010205,01,0102,010201,AMAZONAS,BAGUA,BAGUA,"BAGUA, BAGUA, AMAZONAS","bagua, bagua, amazonas",AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,151.0,408.0,-5.6389,-78.5311,NO
